Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,15-10-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,981607427.20,1139434503.73,1351923640.91,1515909822.87,1575961100.77,1701452873.81,1801538336.98,1933189215.45,2091786180.16,2145066984.43,2170502935.00,2323455541.52,2369738447.20,2399076806.97,2581804607.81,2505092564.79,2423084691.96,2470953875.24,2666444959.29,2698824916.29,2727178974.03,2776274358.21,2773756053.98,2481963892.10,2390502793.30,2472880828.36,2439005748.52,2541400876.22,2549025078.85,2694319530.67,2750900229.65,2805918209.61,,,
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465114629.46,8124454291.90,8239343660.83,9164598458.54,9655582953.98,10990594706.56,11421973770.82,13865194314.72,15856574731.44,15924179997.79,17954877146.66,18960483969.89,19477070577.86,19759744157.44,20206376461.41,20744935406.10,21126660585.82,21739593381.89,
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,26521454739.35,25354510407.42,25354510407.42,26419400206.68,28004564790.90,28984724415.63,29825281928.78,31042973220.06,32945563049.27,32959275474.23,31822147944.97,32137619768.54,30261335305.51,23003632935.65,23311735184.25,26808495468.62,30439537220.67,32653793583.55,34185630862.35,34931386884.78,35998409493.94,37512502077.51,42638843018.36,43913680470.78,48723485190.30,56046096519.30,62518122179.08,71276922501.32,79235802265.44,79916210095.16,83799496611.20,86708999526.47,94115810020.14,98778862974.53,103542597659.55,104519600360.54,101822893033.00,101673002179.77,99635905543.17,98769677172.45,
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5323398063.86,5629261101.75,5795245314.54,5859279197.39,5785944655.55,5888971729.58,6220947386.67,6171936109.61,6084292169.39,6682776548.14,6042857912.56,4350728279.81,4038036612.67,4424049156.84,4791372056.26,5429694612.20,5923796791.70,5276919124.81,5742875711.85,6483126460.62,6933706092.27,7508515182.80,7849398816.78,8283474557.11,8739893896.96,9223202583.88,9767379279.89,10351466806.24,11127823665.75,11500613161.66,11926928505.52,12230507222.18,12403877841.03,12528163103.12,12750473701.78,13033375121.59,13465406059.65,13977387390.59,14546448944.41,14868516510.53,
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1012346692.51,1059415401.31,1145755038.99,1234991794.43,1304383386.54,1311455827.07,1354783534.85,1393240089.24,1413623194.24,1414210656.39,1445446717.57,1443531869.10,1461524932.50,1487395653.04,1513941005.34,1549086131.93,1599482888.42,1688208158.34,1774210988.92,1859852760.91,1930181002.40,1979323466.15,1997715576.45,1977109459.70,2024227688.98,2080045751.05,2176762473.45,2374144159.10,2449993086.31,2550420283.41,2640408325.60,2854792522.87,2984581731.41,3244067347.21,3507994166.78,3697348535.07,3875142516.24,3935330770.25,3716558398.52,3519475009.94,3449966856.69,3449688452.87,3278085642.32,3161792390.30,3240978390.56,3287458570.86,3409412700.52,3421211719.48,3475566750.63,3539838260.64,
Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,570547630544.53,660721631551.47,715070300861.81,710385139205.36,792341851032.39,864743236762.73,889910780798.85,809108638642.50,753757557906.13,763981527544.43,746452949397.43,781608208187.54,777733903583.31,821307595456.30,840670450724.26,950895579553.58,965295002561.52,1013387525911.08,1046534998432.27,1080006686406.45,1109756124917.59,1160763978421.45,1209979559712.74,1273698896460.48,1296497464311.00,1367283205455.91,1388765047669.61,1396871279341.16,1471347479724.25,1608499975924.05,1700985379563.65,1811581234774.96,1894049503889.47,2004070886762.66,2012593476297.94,2106020669993.19,2186392211763.76,2330478094443.92,2404686727561.27,2463539265634.32,2541720851661.54,2628692558082.55,2658585229962.03,2714145316715.14,2754272318120.72,
United Arab Emirates,ARE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56806673982.30,66195031477.20,80386802831.86,79108971545.27,95661395017.02,118500337753.57,124021477848.88,115688082614.02,110197733641.93,114624322913.55,110504178543.23,93974812607.22,97153023580.67,94608675561.61,106281391095.98,125760629081.01,126842273546.63,131085077658.27,132738310796.46,141892141892.44,151381727243.02,160159451463.58,173277148999.32,173783108481.96,178826665568.41,198234194635.81,201007659577.94,205899094159.29,224019327978.22,245449995044.25,257366938869.98,282684947637.85,291686739332.88,300996902491.49,285215869952.35,289787338325.39,309870388019.06,323766916269.57,340127978216.47,354700093723.62,372810856991.15,384222464261.40,393342125492.11,398022328963.22,404700030656.58,
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,115573868508.15,121847036500.55,120808873523.84,114396100733.29,125984766250.65,139300642138.50,138381639345.11,142798776600.37,149685248718.02,164174071297.93,169174227931.95,178746327507.30,181657062226.62,186764812014.47,197100011389.72,197044011131.93,193067167388.74,206454730042.61,197151622246.27,217305966255.67,220606374392.25,209157368731.78,207618683386.49,216648213592.79,220051190931.38,208632681046.74,221470636587.66,227461126795.49,224981952135.06,208880107086.69,203726588308.54,222333162871.50,239980394235.25,259675534967.55,274830720366.62,267011210297.95,281768091694.84,304622433397.25,316350941905.03,305641016669.20,303229512290.35,289860609223.18,258281789127.31,281106256200.53,306488951656.96,333618311350.42,360465082297.96,392934518437.81,408876787794.81,384677312577.80,423627422092.49,449061807872.40,444452545623.36,455143068397.58,443707073929.40,455825423287.84,446342760088.16,458253820042.81,446880911357.64,437215091207.46,
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6352022584.94,5608836038.74,3264342420.60,2977080326.95,3137842747.45,3354353847.31,3551100143.05,3669035008.97,3936874564.23,4066791424.93,4306732119.00,4720178402.42,5343241951.54,6091295824.76,6730881886.36,7666474468.57,8678449098.42,9867396624.90,10548246992.02,9060944166.14,9260284937.80,9695518329.87,10393595649.63,10736584306.06,11123101341.08,11479040584.00,11501998665.16,12364648565.05,13007610290.43,13996188672.51,
